Title,Year,Author,Link,C1.1_Time,C1.2_Space,C1.3_Scale,C1.4_Symmetry_role,C1.5_Focus,C1.6_Scenario,C1.7_Display_for_VE,C1.8.1_Task_goal,C1.8.2_Task_outcome,C1.8.3_Intearction_code,C1.8.4_DoF_of_task,C1.8.5_User_rep,C2.1_Haptic_device_(F),C2.2_Off_the_shelf,C2.3.3_Installation,C2.4_Location,C2.5.1_Feedback_type ,C2.5.2_DoF_haptic_device_force,C2.5.3_Physical_properties,C2.6.1_Symmetry_(feedback),C2.6.2_Direction,C2.6.3_From_what,C3.1_Study_motivation_desc,C3.1_Study_motivation,C3.2_IV,C3.2.1_Levels,C3.3.1_DVs: Code Performance etc,C3.3.2_DVs: Code self-reports ,C3.2.2_Is_Haptic_feedback_an_IV_or_constant,C3.4_Hypotheses_description,C3.4.1_Hypotheses_code,C3.5_Between or within design?,C3.6_Sample_size,C3.6.1_Sample_size_description,C4.1_Hypothesis supported,Concluding statement,CS code,C4.2_Benefit of using haptic feedback in CVEs,Benefit_code,C4.3_Limitation of using haptic feedback in CVEs,Limitation_code,C4.4_Future work,Future_work_code
Compensating the Effect of Communication Delay in Client-Server-Based Shared Haptic Virtual Environments,2015,"Schuwerk, Clemens and Xu, Xiao and Chaudhari, Rahul and Steinbach, Eckehard",https://doi.org/10.1145/2835176,Synchronous,Remote: simulated user input,2,Symmetric,Object,Shared experience,Screen (3DVE),Performance,Optimizing,Manipulating object,3,Pointer,geomagic touch,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Symmetric,Bilateral,User,"The paper investigates the haptic transparency of a specific architecture for haptic remote interaction in a VE, in the presence of communication delay and propose a compensation scheme to achieve perceptual transparency in a multi-user application with time-varying communication delay.",Evaluation: system,Delay ,"Without delays, delays, delays with compensation",N/A,Perception,Constant,N/A,N/A,Within,15,15 participants paired with 1 experimenter,N/A,"The objective and subjective evaluation shows that the proposed
scheme effectively compensates for time-varying delay in such a CS architecture during cooperative
multi-user interactions","Delay, Performance",N/A,N/A,"Communication delay between the client and the server causes a delay in updating the state of virtual objects, which increases the feedback force perceived by the user. 60-100ms delays become perceptible and impact experience
",Delay,"A plausible but not accurate physics simulation could be applied at the client as an alternative way
to compensate for the delay in the CS architecture",leverage human perception to compensate delay
Comparative study on collaborative interaction in non-immersive and immersive systems,2007,"Shahab, Qonita and Kwon, Yong-Moo and Ko, Heedong and Mayangsari, Maria and Yamasaki, Shoko and Nishino, Hiroaki",https://doi.org/10.1117/12.733654,Synchronous,Remote: different countries,2,Symmetric,Object,Shared experience,Screen (3DVE),Performance,Optimizing,Manipulating object,3,Virtual hand(s),force feedback Joystick or SPIDAR,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Symmetric,Bilateral,User,The paper evaluates the effects of using haptics on a collaborative interaction.,Evaluation: interaction technique,"Feedback, Immersion",#NAME?,Performance: Time,User experience,IV,N/A,N/A,within ,2,2 participants paired together,N/A,see benefit of haptic,"Force feedback, Performance, Social presence, Interaction methods, Usability","- The use of haptics functionality (force-feedback device) is useful for users to feel each other's presence. It also helps collaboration to be performed more effectively (no time wasted).
- The use of tracker-type input device like SPIDAR is more intuitive for a task where users are faced with a set of objects to select and manipulate.",Haptic feedback improves collaborative performance and experiences,"network delays caused problems on the haptics
smoothness.",Delay,"update our algorithm by studying the possible solutions like indicated by Glencross et
al16.",improve the proposed technique
Architecture and Evaluation of Tele-Haptic Environments,2004,"Shen, Xiaojun and Zhou, Jilin and Saddik, Abdulmotaleb and Georganas, N.D.",https://doi.org/10.1109/DS-RT.2004.8,Synchronous,Remote: different countries,2,Symmetric,Object,Shared experience,Screen (3DVE),Performance,Optimizing,Manipulating object,3,Pointer,MPB Freedom 6S,Off-the-shelf,Grounded,Hand,Kinesthetic,6,Force,Symmetric,Bilateral,User,"The paper evaluates if thte system can enhance the precision, efficiency, and realism of interactions in shared virtual environments by enabling users to physically feel object properties (such as stiffness or texture) and better coordinate their actions‚Äîsomething that visual or audio feedback alone cannot fully achieve.",Evaluation: system,"Feedback, Delay",#NAME?,"Performance: Time, Efficiency",N/A,IV,N/A,N/A,within ,not precised,X participants paired together,N/A,"The experimental results indicate that supporting haptic force feedback in a collaborative virtual environment makes manipulation of common objects significantly faster and more precise. Users perceived their performance to be significantly better in the haptic environment. With the benefits of the time delay compensation approach, users have less sluggish response which bring them more realistic feelings and less completion time for given tasks.","Force feedback, Interaction methods, Performance, Delay",#NAME?,Haptic feedback improves collaborative performance and experiences,#NAME?,"Delay, hard to deply, diverse haptic setups","future research work will include studies on how network impairments affect manipulated objects with different properties such as stiffness, deformation and damping.",explore more diverse haptic feedback
Gesture Coordination in Collaborative Tasks through Augmented Feedthrough,2010,"Simard, Jean and Ammi, Mehdi",https://doi.org/10.2312/egve/jvrc10/043-050,Synchronous,Co-located: separated by obstacles,2,Asymmetric,Person,Remote expert,Screen (2DVE),Performance,Optimizing,Manipulating object,1,Pointer,Omni haptic arms (Sensable),Off-the-shelf,Grounded,Hand,Kinesthetic and Vibrotactile,3,Force,Asymmetric,Bilateral,User,The paper explores the communication channel of haptic modality through feedthrough mechanisms. Study of several communication metaphors to highlight the potential of feedthrough to convey kinematic information about partner gestures,Evaluation: interaction technique,Feedback (Metaphor),"Viscosity, spring, vibration","Performance: Time, Errors
Behavior: Force applied","Preference, User experience",IV,N/A,N/A,within ,14,14 participants paired together,N/A,"- spring metaphor improve coordination of partners’ positions.
- viscosity metaphor improves coordination of partners’
velocity
- vibration metaphor important
role during partner's gesture change of direction","Interaction methods, Performance","potential of feedthrough to
convey kinematic information about partner gestures",haptic as an alternative for communication,"Viscosity metaphor increases force feedback. According to the required level of coordination and the specifications of the collaborative tasks (accuracy, fatigue, tasks durations, etc.) it is necessary to integrate the most suitable combination of communication metaphors.",Case dependent.,N/A,N/A
Haptic interpersonal communication: improvement of actions coordination in collaborative virtual environments,2011,"Simard, Jean and Ammi, Mehdi",https://doi.org/10.1007/s10055-011-0201-2,Synchronous,Co-located: separated by obstacles,2,Asymmetric,Object,Remote expert,Screen (3DVE),Performance,Optimizing,Pointing,1,Pointer,Omni haptic arms (SensAble),Off-the-shelf,Grounded,Hand,Kinesthetic and Vibrotactile,3,Force,Symmetric,Bilateral,"User, Virtual object","The paper investigates how to enhance action coordination among collaborators with different haptic communication metaphor (spring, viscosity and vibration).",Evaluation: interaction technique,Feedback (Metaphor),"1st expe: conditions (without metaphors, spring metaphor, viscosity m, vibration m) 
2nd expe: conditions (no feedthrough, high feedthrough, low feedthrough)","Performance: Time, Errors, Precision
Behavior: Force applied",Collaboration,IV,N/A,N/A,Within,14,28 participants paired together,N/A,"The proposed methods reduced errors, increased communications","Performance, Haptic communication","Thus, according to the required level of coordination and the specifications of the collaborative tasks (accuracy, fatigue, tasks durations, etc.), it is necessary to integrate the most suitable combination of communication metaphors.",Haptic feedback improves collaborative performance and experiences,Delay,Delay,Explore with more ecological tasks,Explore with more ecological tasks
The MADE-axis: a modular actuated device to embody the axis of a data dimension,2021,"Smiley, Jim and Lee, Benjamin and Tandon, Siddhant and Cordeil, Maxime and Besançon, Lonni and Knibbe, Jarrod and Jenny, Bernhard and Dwyer, Tim",https://doi.org/10.1145/3488546,Synchronous,Co-located,2,Symmetric,Workspace,Shared experience,AR,Performance,Maximizing ,Visualizing data,N/A (touch),No visual representation,"THE MADE-AXIS, which can provide haptic feedback while browsing data",Customized,Prop,Hand,Passive,0,Touch,Symmetric,No communication,Prop,This paper proposes and evaluates a tangible prototype (MADE-Axis) to support collaborative MR data visualization.,Evaluation: system,N/A,N/A,N/A,"User experience, Collaboration",Constant,N/A,N/A,NA,5,10 participants paired together,N/A,"We observed that our mixed-reality system was effective for visualisation tasks, and that participants with minimal knowledge in visualisation wereable to gather insights about the data.","Usability, Performance",Tangible is good for communicating visualizations in AR,haptic as an alternative for communication,The study did not quantify performance,Lack of measurement,Extend the prototype from 1D to 2D.,explore more diverse haptic feedback
Influences of Inter-Stream Synchronization Error on Collaborative Work in Haptic and Visual Environments,2008,T. Fujimoto and Y. Ishibashi and S. Sugawara,https://doi.org/10.1109/HAPTICS.2008.4479925,Synchronous,Remote: different rooms,2,Symmetric,Object,Shared experience,Screen (RE),Performance,Optimizing,Manipulating object,3,No visual representation,PHANToM Omni ,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Symmetric,Bilateral,User,The paper investigates the influences of inter-stream synchronization error between haptic media and video on the media synchronization quality and the easiness of the collaborative work.,Evaluation: system,"Delay, Grouping",#NAME?,N/A,User experience,Constant,N/A,N/A,within ,30,30 participants paired with 1 experimenter,N/A,"as the synchronization error becomes
larger, the MOS value decreases. we can
more easily perceive the deterioration in the easiness of the collab-
orative work in the case where two users do the collaborative work
than that in the case where one user does","Performance, Delay, Usability",N/A,N/A,#NAME?,Delay,#NAME?,explore how latency influence haptic collaboration
Haptic Communication for a 2D Pointing Task in a Virtual Environment,2011,"Takač, Boris and Chellali, Amine and Dumas, Cédric and Milleville, Isabelle and Grosdemouge, Cristol and Cao, Caroline",https://doi.org/10.1177/1071181311551452,Synchronous,Co-located: separated by obstacles,2,Asymmetric,Object,Remote expert,Screen (2DVE),Performance,Optimizing,Pointing,2,Pointer,Virtuose 6D desktop,Off-the-shelf,Grounded,Hand,Kinesthetic,6,Force,Symmetric,Bilateral,User,This paper studies how verbal and haptic communication influence the performance of a pointing collaborative task.,Study: communication modalities,Feedback,"Haptic, no haptic","Performance: Time
Behavior: Force applied, Movements, Social interaction",N/A,IV,N/A,N/A,Within,10,20 participants paired together,N/A,Verbal communication is more efficient and lead to faster result. Introducing verbal communication first lead to a less efficient haptic communication later.,"Performance, Haptic communication","Observed several haptic communication strategies (Motion Copying, Steering, Impulse control), following the similar pattern of verbal communication.",haptic as an alternative for communication,Limiting workspace,Haptic devices have limited workspace,"Extend to other displays, more complex tasks",explore more complex task
Group Haptic Collaboration: Evaluation of Teamwork Behavior during VR Four-Person Rowing Task,2024,"Tian, Bohao and Zheng, Yilei and Zhuang, Zhiqi and Luo, Hu and Zhang, Yuru and Wang, Dangxiao",https://doi.org/10.1109/TOH.2023.3346683,Synchronous ,Co-located: separated by obstacles,4,Symmetric,Object,Telepresence,Screen (3DVE),Performance,Optimizing,Navigating,3,Virtual paddle,Touch (geomagic),Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Symmetric,Unilateral,UI,The paper investigates the potential use of kinesthetic features for quantitatively evaluating teamwork behavior at both the group-level and member-level.,Evaluation: interaction technique,N/A,N/A,"Performance: Time, Precision, Score, Efficiency, Errors","Collaboration, User experience",Constant,"H1. Kinesthetic data can evaluate teamwork competency across groups.
H2. Kinesthetic features can distinguish individual contributions within the group.",How kinesthetic feedback can evaluate and distinguish collaborative works between group members.,within ,40,40 participants paired together,Yes,"this study is a preliminary attempt to eval-
uate teamwork behavior through a group haptic collaboration
task, aimed at providing a foundation for further research on
the underlying mechanism of multi-person interaction through
kinesthetic information in the future. ","Usability, Force feedback",Can help evaluate collaboration ,Haptic as a metric,#NAME?,The haptic feedback is limited..,#NAME?,Long-term study. Measurement for collaboration.
"\Can we work this out?\"": an evaluation of remote collaborative interaction in a mobile shared environment""",2011,"Trendafilov, Dari and Vazquez-Alvarez, Yolanda and Lemmelä, Saija and Murray-Smith, Roderick",https://doi.org/10.1145/2037373.2037447,Synchronous,Co-located,2,Symmetric,Workspace,Shared experience,Screen (2DVE),Decision-making,Optimizing,Searching,1,Pointer,Vibrotactile display on a smartphone,Customized,Wearable,Hand,Vibrotactile,1,Vibration,Symmetric,Bilateral,User,The study aims to determine to what extent users felt connected and present in the shared environment and to what extent users can successfully operate an eyes-free version of the system?,Study: communication modalities,Feedback,#NAME?,Performance: Score,"Social presence, Affect, Performance",IV,N/A,N/A,,13,26 participants paired together,N/A,"Although an exact translation of a visual interface is not possible using other modalities such as audio or haptics, it is still possible to design equivalent interfaces enabling the interaction even when eyes-free.",Haptic communication,It's beneficial when people switching between modalities when visual is disturbed.,haptic as an alternative for communication,N/A,N/A,N/A,N/A
ColabAR: a toolkit for remote collaboration in tangible augmented reality laboratories,2022,"Villanueva, Ana and Zhu, Zhengzhe and Liu, Ziyi and Wang, Feiyang and Chidambaram, Subramanian and Ramani, Karthik",https://doi.org/10.1145/3512928,Synchronous,Remote: different rooms,2,Symmetric,Workspace,Shared workspace,AR,Decision-making,Optimizing,Manipulating object,N/A (touch),Real body,Custom vibration interface,Customized,Prop,Hand,Vibrotactile,1,Force + Texture,Symmetric,Bilateral,"User, UI","The paper studies the usefulness of haptic feedback with AR compared to AR alone and compares haptic+AR to only a visio (zoom) (if two studies, code them separately.",Study: communication modalities,Feedback,"Haptic, no haptic","Performance: Time, Score, Errors","Usability, Collaboration",IV,Usefulness of haptics for learning,Haptic feedback enhances learning.,"1: within
2: between",20 (in both),20 participants paired together,Yes,Haptic feedback increase collaborative learning experience,Learning,"increase performance, reduce completion time, increase social presence",Haptic feedback improves collaborative performance and experiences,"too smooth vibration to be considered human like
availability of haptic module",Hardware is difficult to set up. Vibration cannot fit the human's experience.,"extend the type of feedback, study long term impact, test on other STEM discipline","Explore diverse haptic feedback, long-term impact, and tresting in other application."
Haptic Communication in Collaborative Virtual Environments,2016,"Wang, Jinling and Chellali, Amine and Cao, Caroline",https://doi.org/10.1177/0018720815618808,Synchronous,Co-located: separated by obstacles,2,Asymmetric,Workspace,Remote expert,Screen (2DVE),Performance,Optimizing,Pointing,2,Pointer,PHANToM Omni,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Asymmetric,Unilateral,User,The paper aims to better understand of the role of haptic feedback as a supplement to verbalization to improve the design of CVEs.,Study: communication modalities,Feedback,"Haptic, verbal, haptic+verbal","Performance: Time, Errors, Efficiency",N/A,IV,Haptic feedback would improve performance and enhance communication effectiveness in a remote collaborative virtual task,haptic improves performance and communication,,18,36 participants paired together,No,Haptic communication can be used to complete a collaborative virtual task but is less efficient than verbal communication. A training period may help to improve the efficiency of haptic communication,"Haptic communication, Performance, Learning",The haptic modality can be very effective to communicate information in tasks requiring a quick response from a remote partner and thus can be used to send a warning or an alert.,haptic as an alternative for communication,Haptic is less efficient than verbal communication. It was unclear how supervisor used haptic communication in the HV condition. The task was too simple.,Haptic is less efficient than verable in some cases. The task was too simple.,"In future research, we will investigate the use of haptic communication in (1) more complex collaborative tasks as well as (2) the use of haptics to convey information beyond physical properties.","Explore more complex task, explore more diverse haptic feedback."
Haptic Feedback Helps Me? A VR-SAR Remote Collaborative System with Tangible Interaction,2020,"Wang, Peng and Bai, Xiaoliang and Billinghurst, Mark and Zhang, Shusheng and Han, Dechuan and Sun, Mengmeng and Wang, Zhuo and Lv, Hao and Han, Shu",https://doi.org/10.1080/10447318.2020.1732140,Synchronous,Remote: different rooms,2,Asymmetric,Object,Remote expert,VR,Performance,Optimizing,Manipulating object,N/A (touch),Virtual hand(s),Tangible surface,Customized,Prop,Hand,Passive,0,Touch,Asymmetric,No communication,Prop,How haptic feedback through tangible interfaces can be used to improve remote collaboration in AR/VR systems,Evaluation: interaction technique,Interaction technique (Feedback),"Tangible physical surface, mid-air input","Performance: Time, Errors",Usability,IV,"Tangible physical drawing decreases performance time, reduces error, and enhances user experiences.",Haptic++,Within,14,28 participants paired together,Semi,The results showed that there were no significant differences with respect to performance time and operation errors.,"Performance, Usability","However, users felt that the TPD interface supporting passive haptic feedback could significantly improve the remote experts’ user experience in VR.",Haptic feedback improves collaborative performance and experiences,Short and simple study task,Hard to generalize due to the simple task,Other measures.,Explore different measures
Haptic-enabled collaborative learning in virtual reality for schools,2021,"Webb, Mary and Tracey, Megan and Harwin, William and Tokatlı, Ozan and Hwang, Faustina and Johnson, Ros and Barrett, Natasha and Jones, Chris",https://doi.org/10.1007/s10639-021-10639-4,Synchronous,Co-located,2,Asymmetric,Object,Shared experience,VR and screen (3DVE),Decision-making,Optimizing,Manipulating object,6,Pointer,Not specified but look like two phantom premium,Off-the-shelf,Grounded,Fingertip,Kinesthetic,6,Force,Asymmetric,Unilateral,UI (feeling a cell),Impact of haptic feedback on collaborative learning,Study: learning,Feedback,"Haptic, no haptic",Performance: Score,User experience,IV,N/A,N/A,within ,64,64 participants paired together,N/A,"- no significant difference in knowledge gains between the two conditions
- the haptic feedback was not essential for most students to interact effectively with the system
- ","Learning, Usability","More authentic experience, but no significant improvement",Haptic feedback improves collaborative performance and experiences,High cost of haptic interfaces for no sensible improvement ,hard to deployment,Explore stronger haptic feedback and more balanced roles,Explore diverse haptic feedback and different collaborator dynamics
Investigating the Effects of Haptic Illusions in Collaborative Virtual Reality,2025,"Weiß, Yannick and Rasch, Julian and Fischer, Jonas and Müller, Florian",https://doi.org/10.1109/TVCG.2025.3616760,Synchronous,Co-located,2,Symmetric,Object,Shared workspace,VR,Performance,Optimizing,Manipulating object,N/A (touch),Avatar,Passive prop(s),Customized,Prop,Hand,Passive,0,Shape,Symmetric,Bilateral,"User, Prop",The paper investigates the impact of haptic illusions on multi-user collaboration in co-located XR environments.,Evaluation: interaction technique,Interaction technique (Feedback),Shape and Size of virtual objects (changing the performance of haptic illusion),Performance: Time,Perception,IV,N/A,N/A,,15,30 participants paired together,N/A,"We found that visual-haptic mismatches disrupted collaboration, leading to reduced performance and user experience.","Performance, Interaction methods",Haptic Illusions (HIs) have been shown to enrich and extend the spectrum of haptic feedback which can be delivered by passive props,Haptic feedback improves collaborative performance and experiences,"When haptic illusion fails, the visual-haptic mismatches may decrease collaboration and user experience more.",illusion may decrease the experience.,Future research needs to extend established haptic illusions to more ecologically valid contexts.,Testing in more ecological setup
Investigating effects of visual and tactile feedback on spatial coordination in collaborative handheld systems,2012,"Yatani, Koji and Gergle, Darren and Truong, Khai",https://doi.org/10.1145/2145204.2145305,Synchronous,Remote: different rooms,2,Symmetric,Object,Shared experience,Screen (2DVE),Performance,Optimizing,Manipulating object,1,Pointer,Custom vibration interface,Customized,Mobile,Hand,Vibrotactile,1,Touch,Symmetric,Bilateral,UI and other user,"We investigated how visual and tactile feedback affects
collaboration on mobile devices, with emphasis on spatial
coordination in a shared workspace 2",Multi-modality impac,Feedback,"Study1 : - tactile
- visual
- no feedback
Study 2 : 
- Visual
- tactile
- Visual+Tactile",Performance: Score,User experience,IV,N/A,N/A,within,24 for each study,24 participants paired together,N/A,"- Visual feedback can provide precise spatial information
about collaborators, but can hamper collaboration when it
is occluded and sometimes distracts the user’s attention.
- Spatial tactile feedback can provide spatial information
about collaborators as well, but improvements are
necessary to convey precise spatial information. It can
reduce the overload of information in visual space and
can gently guide the user’s attention to an area of interest.
- Visual and spatial tactile feedback can complement each
other, and systems with both feedback channels can offer
better spatial coordination support than systems using
only one form of feedback","Performance, Haptic communication","- Spatial tactile feedback can provide spatial information
about collaborators
- It can reduce the overload of information in visual space and
can gently guide the user’s attention to an area of interest.",Haptic feedback improves collaborative performance and experiences,improvements are necessary to convey precise spatial information,Requires learning,N/A,N/A
Study of co-located and distant collaboration with symbolic support via a haptics-enhanced virtual reality task,2012,"Yeh, Shih‐Ching and Hwang, Wu‐Yuin and Wang, Jin-Liang and Zhan, Shi-Yi",https://doi.org/10.1080/10494820.2012.705854,Synchronous,Co-located,2,Symmetric,Person,Shared experience,Screen (3DVE),Performance,Maximizing,Manipulating object,3,Pointer,Sensable Phantom Omni,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Symmetric,Bilateral,UI,"examined the manners in which people touch digital representations of
people, and compared those behaviors to the manner in which they touch digital
representations of nonhuman objects",Study: Social Touch,"Avatar appearance, Interaction techniques (Feedback)",#NAME?,Behavior: Force applied,Social presence,Constant,N/A,N/A,within,40,40 participants alone,N/A,"we have demonstrated that people touch digital
representations of others in a manner consistent with experiencing high degrees of
copresence and in a similar manner to what occurs in a face-to-face venue. ","Social touch, Social presence, Virtual agent",N/A,N/A,N/A,N/A,"Using touch as a mesure of copresen
- study the effect of being touch",Explore new measurement
INC-hg: An intelligent collaborative haptic-gripper virtual reality system,2022,"Zhao, Huan and Zaini Amat, Ashwaq and Migovich, Miroslava and Swanson, Amy and Weitlauf, Amy S. and Warren, Zachary and Sarkar, Nilanjan",https://doi.org/10.1145/3487606,Synchronous,Remote: with virtual agent,2,Symmetric,Object,Shared experience,Screen (2DVE),Performance,Optimizing,Manipulating object,3,Pointer,PHANToM Omni,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Asymmetric,Unilateral ,Virtual agent,"This paper aims to bridge the gap by providing an intelligent agent that can interact with the user via haptic and verbal feedback, and conduct consistent performance evaluations in the collaborative games.",Evaluation: system,N/A,N/A,"Behavior: Social interaction
Performance: Efficiency, Time",User experience,Constant,N/A,N/A,,10,10 participants paired with 1 experimenter,N/A,Results from the presented usability study indicated that INC-Hg can perform real-time communication based on the recognized speech data and record specific performance metrics. (This paper does not provide many fruitful discussion on haptics... The haptic feedbaclk is in the background.,"Usability, Performance",N/A,N/A,N/A,N/A,The paper aims to explore whether the haptic effects would increase participant engagement or realworld skill transfer from CVE to the real world.,Explore learning of CVE to real-world
